ticker,method,n_trades_total,win_rate_total,cumulative_return_total,max_drawdown_total,n_trades_is,win_rate_is,cumulative_return_is,max_drawdown_is,n_trades_oos,win_rate_oos,cumulative_return_oos,max_drawdown_oos,n_confirmed,n_not_confirmed,cumulative_confirmed,cumulative_not_confirmed
IRSA_BA,HMA16,87,0.39080459770114945,5.6672185940301745,-0.4259382808239779,58,0.43103448275862066,7.272545788333286,-0.3387373323516746,29,0.3103448275862069,-0.1940547970815819,-0.425938280823978,47,39,0.31797440504445396,3.119131631295124
IRSA_BA,EMA_12_26,45,0.5111111111111111,4.108284068258828,-0.35138833860855256,32,0.53125,4.401292100923241,-0.35138833860855256,13,0.46153846153846156,-0.05424776649541485,-0.22803342440801463,27,18,0.47920684033370087,2.4533940277793964
IRSA_BA,SMA_10_50_100,30,0.6,5.886020577586948,-0.29162902925903644,21,0.6190476190476191,4.244437644597388,-0.29162902925903644,9,0.5555555555555556,0.3130141006978422,-0.18906573556797016,19,11,1.1952750962086442,2.1367460914030647
IRSA_BA,B&H,1,1.0,47.70481028151775,0.0,1,1.0,30.93614443084455,0.0,1,1.0,0.4750746268656716,0.0,0,0,,
IRSA_MEP,HMA16,72,0.3194444444444444,-0.6874332072327488,-0.6842759669017665,48,0.3541666666666667,-0.4060167922708432,-0.5309942314052354,24,0.25,-0.47377840198173604,-0.6526719968530608,45,26,-0.6727196379459165,-0.03531018140935671
IRSA_MEP,EMA_12_26,37,0.3783783783783784,-0.38669657019348436,-0.5497275888173765,26,0.38461538461538464,-0.33358469832848947,-0.5487891052265993,11,0.36363636363636365,-0.07969785767490523,-0.2869839354902395,20,17,-0.27833445500844456,-0.15015558929906747
IRSA_MEP,SMA_10_50_100,22,0.4090909090909091,-0.24377559758068434,-0.36436292795948083,14,0.35714285714285715,-0.0498628455516561,-0.3105811777736579,8,0.5,-0.20408922135206387,-0.3643629279594807,12,10,0.07898515805770456,-0.29913363796346804
IRSA_MEP,B&H,1,1.0,3.2324242424242424,0.0,1,1.0,2.080909090909091,0.0,1,1.0,0.336153846153846,0.0,0,0,,
LOMA_BA,HMA16,89,0.43820224719101125,0.5480081016698173,-0.46786945014114223,59,0.4915254237288136,1.2291384672655319,-0.23492372008055412,30,0.3333333333333333,-0.3055576742306424,-0.3936911508339624,47,41,-0.15527523695121248,0.692341220209199
LOMA_BA,EMA_12_26,46,0.391304347826087,1.9010725114975262,-0.4463560812360577,34,0.47058823529411764,2.210697604772955,-0.4190460327974285,12,0.16666666666666666,-0.0964354577694101,-0.4239400705250929,29,17,0.6264926824074011,0.7836369895028337
